"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","wdsp","NUM_COLLISIONS"
"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,37.8,6.1,381
"2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,27.1,5.3,480
"3",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,28.4,3.7,549
"4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,33.4,6.5,505
"5",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,36.1,6.6,389
"6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,38.3,5.3,393
"7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,40.9,5.7,521
"8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,40.7,5.1,513
"9",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,43.8,3.7,487
"10",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,44.3,5.9,555
"11",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,40.5,4.5,660
"12",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,44.6,3.5,475
"13",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,45.3,2.9,373
"14",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,52.5,3.9,542
"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,37.9,5.7,516
"16",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,34.2,4.6,578
"17",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,39.2,4.9,491
"18",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,30.2,5.7,561
"19",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,37.3,7.8,484
"20",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,45.3,9.7,393
"21",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,29.8,5.1,355
"22",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,22.4,8.4,544
"23",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,14.4,7.7,545
"24",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,16.8,6.7,554
"25",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,17.1,6.1,674
"26",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,19.9,5.7,558
"27",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,24.5,5.6,429
"28",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,31.8,3.5,507
"29",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,40.3,4.3,542
"30",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,45.7,3.6,497
"31",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,49.1,9.1,592
"32",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,29.3,8.4,574
"33",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,24.1,6.3,534
"34",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,26.5,2.6,445
"35",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,26.8,6.2,553
"36",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,29.1,4.7,566
"37",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,33.3,3.6,566
"38",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,29.3,5,526
"39",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,32.3,10.2,703
"40",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,28.8,8,403
"41",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,25.2,3.4,400
"42",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,38.5,3.2,475
"43",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,41.9,7.2,498
"44",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,38.2,3,570
"45",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,38.2,3.8,631
"46",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,43,4.9,604
"47",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,37.9,5.6,449
"48",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,29,9.6,447
"49",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,23.4,8.2,398
"50",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,39.2,5.8,477
"51",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,33.8,9.9,510
"52",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,28,9.2,498
"53",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,30,6.4,531
"54",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,38,6.3,521
"55",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,39.3,7.1,426
"56",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,37.5,5,490
"57",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,39.9,5,537
"58",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,40.2,10.7,550
"59",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,45.2,3.9,517
"60",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,40,4.9,603
