LOCATION,Country,OBS_VALUE,GDPPerCapita
AUS,Australia,7.1,64711.7656
AUT,Austria,7.2,56505.96828
BEL,Belgium,6.8,53475.2935
CAN,Canada,7,53371.69743
CZE,Czechia,6.9,30427.42347
DNK,Denmark,7.5,67967.38187
FIN,Finland,7.9,53755.91174
FRA,France,6.7,44460.81785
DEU,Germany,7.3,52745.75571
GRC,Greece,5.8,22990.01357
HUN,Hungary,6,22147.20973
ISL,Iceland,7.6,78811.05839
IRL,Ireland,7,103684.8808
ITA,Italy,6.5,38373.16605
JPN,Japan,6.1,33834.39211
KOR,Korea,5.8,33121.37129
LUX,Luxembourg,7.4,128259.4026
MEX,Mexico,6,13926.11362
NLD,Netherlands,7.5,62536.73203
NZL,New Zealand,7.3,48527.82892
NOR,Norway,7.3,87961.78061
POL,Poland,6.1,22112.86157
PRT,Portugal,5.8,27275.11155
SVK,Slovak Republic,6.5,24470.23854
ESP,Spain,6.5,32676.98371
SWE,Sweden,7.3,56305.2502
CHE,Switzerland,7.5,99994.93802
TUR,Türkiye,4.9,12985.75315
GBR,United Kingdom,6.8,48866.60396
USA,United States,7,81695.18707
BRA,Brazil,6.1,10043.62392
CHL,Chile,6.2,17093.24197
EST,Estonia,6.5,29823.74961
ISR,Israel,7.2,52261.67615
LVA,Latvia,6.2,23184.31167
RUS,Russia,5.5,13817.0459
SVN,Slovenia,6.5,32163.51142
ZAF,South Africa,4.9,6253.161613
OECD,OECD - Total,6.7,46280.58061
