day,year,mo,da,pickup_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_TRIPS
4,2009,01,01,2009-01-01,19.6,1.0,1020.6,10.0,11.6,22.0,32.1,26.1,15.1,0.04,999.9,0,327625
5,2009,01,02,2009-01-02,28.7,13.1,1017.5,9.3,5.6,14.0,19.0,33.1,21.9,0.0,999.9,0,376708
6,2009,01,03,2009-01-03,33.5,17.7,1012.6,10.0,7.7,13.0,20.0,37.9,30.0,0.0,999.9,0,432710
7,2009,01,04,2009-01-04,31.7,11.3,1018.1,10.0,7.3,12.0,17.1,42.1,25.0,0.0,999.9,0,367525
1,2009,01,05,2009-01-05,41.1,21.7,1014.3,10.0,6.3,9.9,14.0,43.0,37.9,0.0,999.9,0,370901
2,2009,01,06,2009-01-06,34.9,9.1,1016.5,10.0,5.2,8.9,15.9,42.1,32.0,0.0,999.9,0,427394
3,2009,01,07,2009-01-07,34.0,30.9,998.0,5.3,9.5,15.9,24.1,37.4,30.2,0.52,999.9,0,371043
4,2009,01,08,2009-01-08,36.2,24.6,995.0,9.6,9.0,17.1,25.1,37.9,32.0,0.75,999.9,0,477502
5,2009,01,09,2009-01-09,29.1,13.0,1012.2,10.0,9.0,12.0,22.9,32.0,26.1,0.0,999.9,0,520846
6,2009,01,10,2009-01-10,26.2,14.6,1024.2,7.8,4.9,11.1,15.0,30.0,23.0,0.0,999.9,1,483350
7,2009,01,11,2009-01-11,28.4,23.1,1011.8,7.6,7.8,13.0,21.0,30.9,24.8,0.29,999.9,0,405075
1,2009,01,12,2009-01-12,26.1,14.6,1019.5,10.0,5.5,11.1,15.0,33.1,21.0,0.04,1.2,0,414642
2,2009,01,13,2009-01-13,33.9,20.8,1020.9,10.0,4.2,11.1,19.0,41.0,28.0,0.0,1.2,0,442543
3,2009,01,14,2009-01-14,25.7,8.1,1015.4,10.0,7.4,14.0,22.9,39.9,16.0,0.0,999.9,0,489177
4,2009,01,15,2009-01-15,19.7,7.1,1022.1,7.6,6.5,11.1,15.9,21.9,16.0,0.01,999.9,0,486450
5,2009,01,16,2009-01-16,14.0,-2.1,1031.2,10.0,7.5,9.9,19.0,17.1,10.0,0.04,1.2,0,535200
6,2009,01,17,2009-01-17,11.5,-4.9,1033.2,10.0,5.6,9.9,17.1,19.0,6.1,0.0,999.9,0,511023
7,2009,01,18,2009-01-18,27.1,17.7,1018.9,8.1,4.8,8.9,22.0,35.1,18.0,99.99,999.9,1,419962
1,2009,01,19,2009-01-19,29.2,25.9,1005.2,4.3,2.4,7.0,999.9,33.1,26.1,0.18,999.9,1,352534
2,2009,01,20,2009-01-20,25.4,16.5,1004.6,9.0,4.4,9.9,15.0,30.2,19.9,0.18,3.1,0,433639
3,2009,01,21,2009-01-21,21.4,7.1,1011.0,10.0,7.3,11.1,15.0,26.1,17.1,0.0,3.9,0,478268
4,2009,01,22,2009-01-22,26.5,12.0,1015.1,10.0,6.1,9.9,20.0,37.0,19.9,0.0,3.1,0,498241
5,2009,01,23,2009-01-23,37.8,21.7,1014.9,9.8,3.9,7.0,14.0,46.9,30.9,0.0,3.1,0,519394
6,2009,01,24,2009-01-24,37.2,17.0,1012.8,10.0,9.3,15.9,22.9,46.9,24.1,0.0,2.0,0,547591
7,2009,01,25,2009-01-25,19.7,0.4,1026.3,10.0,6.2,11.1,19.0,27.0,12.9,0.0,999.9,0,460723
1,2009,01,26,2009-01-26,23.2,5.4,1028.7,10.0,4.5,8.0,999.9,28.9,19.0,0.0,999.9,0,434081
2,2009,01,27,2009-01-27,27.3,6.4,1030.5,10.0,4.0,8.0,14.0,28.9,25.0,0.0,999.9,0,471788
