"","day","year","mo","da","collision_date","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","sndp","fog","NUM_COLLISIONS"
"185",4,2013,1,1,"2013-01-01",37.8,23.6,1011.9,10,6.1,8.9,19,39.9,33.1,0,999.9,0,381
"186",5,2013,1,2,"2013-01-02",27.1,10.5,1016.8,10,5.3,9.9,19,33.1,21.9,0,999.9,0,480
"187",6,2013,1,3,"2013-01-03",28.4,14.1,1020.6,10,3.7,8,15,32,24.1,0,999.9,0,549
"188",7,2013,1,4,"2013-01-04",33.4,18.6,1017,10,6.5,13,24.1,37,30,0,999.9,0,505
"189",2,2013,1,5,"2013-01-05",36.1,18.7,1020.6,10,6.6,12,21,42.1,32,0,999.9,0,389
"190",1,2013,1,6,"2013-01-06",38.3,25,1019.5,8.5,5.3,8.9,17.1,46,34,0,999.9,0,393
"191",3,2013,1,7,"2013-01-07",40.9,23.8,1022.6,10,5.7,11.1,17.1,45,37,0,999.9,0,521
"192",4,2013,1,8,"2013-01-08",40.7,25.4,1028.5,9.3,5.1,8.9,22,48,35.1,0,999.9,0,513
"193",5,2013,1,9,"2013-01-09",43.8,30.8,1026.3,7.8,3.7,9.9,15.9,48.9,39,0,999.9,0,487
"194",6,2013,1,10,"2013-01-10",44.3,25.4,1028.5,9.9,5.9,11.1,19,48,39.9,0,999.9,0,555
"195",7,2013,1,11,"2013-01-11",40.5,27.1,1030.4,9.4,4.5,7,999.9,44.1,37,0,999.9,0,660
"196",2,2013,1,12,"2013-01-12",44.6,43,1020.5,3.9,3.5,7,999.9,46.9,42.1,0.57,999.9,0,475
"197",1,2013,1,13,"2013-01-13",45.3,43.1,1019.7,4.2,2.9,8,999.9,48.9,43,0.02,999.9,1,373
"198",3,2013,1,14,"2013-01-14",52.5,45.4,1016.8,5.9,3.9,8.9,15.9,72,48,0,999.9,1,542
"199",4,2013,1,15,"2013-01-15",37.9,27.9,1025.5,9.7,5.7,11.1,14,50,35.1,0.09,999.9,0,516
