"","day","temp","NUM_COLLISIONS"
"185",4,37.8,381
"186",5,27.1,480
"187",6,28.4,549
"188",7,33.4,505
"189",2,36.1,389
"190",1,38.3,393
"191",3,40.9,521
"192",4,40.7,513
"193",5,43.8,487
"194",6,44.3,555
"195",7,40.5,660
"196",2,44.6,475
"197",1,45.3,373
"198",3,52.5,542
"199",4,37.9,516
"200",5,34.2,578
"201",6,39.2,491
"202",7,30.2,561
"203",2,37.3,484
"204",1,45.3,393
"205",3,29.8,355
"206",4,22.4,544
"207",5,14.4,545
"208",6,16.8,554
"209",7,17.1,674
"210",2,19.9,558
"211",1,24.5,429
"212",3,31.8,507
"213",4,40.3,542
"214",5,45.7,497
"215",6,49.1,592
"216",7,29.3,574
"217",2,24.1,534
"218",1,26.5,445
"219",3,26.8,553
"220",4,29.1,566
"221",5,33.3,566
"222",6,29.3,526
"223",7,32.3,703
"224",2,28.8,403
"225",1,25.2,400
"226",3,38.5,475
"227",4,41.9,498
"228",5,38.2,570
"229",6,38.2,631
"230",7,43,604
"231",2,37.9,449
"232",1,29,447
"233",3,23.4,398
"234",4,39.2,477
"235",5,33.8,510
"236",6,28,498
"237",7,30,531
"238",2,38,521
"239",1,39.3,426
"240",3,37.5,490
"241",4,39.9,537
"242",5,40.2,550
"243",6,45.2,517
"244",7,40,603
"245",2,36.7,474
"246",1,32.6,502
"247",3,32.8,597
"248",4,37.9,527
"249",5,40.1,475
"250",6,36.7,535
"251",7,34,851
"252",2,43.7,569
"253",1,41.8,415
"254",3,44.7,522
"255",4,50.3,547
"256",5,45,636
"257",6,35.6,557
"258",7,36.1,607
"259",2,37.3,521
"260",1,33,426
"261",3,32.1,623
"262",4,36,559
"263",5,38.5,540
"264",6,35.7,508
"265",7,34,604
"266",2,38.4,488
"267",1,39.1,451
"268",3,38.3,498
"269",4,42.2,425
"270",5,43.8,441
"271",6,43.3,549
"272",7,46.7,520
"273",2,48,513
"274",1,49.3,426
"275",3,49.3,479
"276",4,38,437
"277",5,38.4,532
"278",6,39.9,566
"279",7,49,582
"280",2,43.1,531
"281",1,46.2,451
"282",3,59,582
"283",4,65.7,613
"284",5,65.1,580
"285",6,56.2,517
"286",7,44.2,649
"287",2,46.5,555
"288",1,52.3,472
"289",3,49.9,603
"290",4,53.9,564
"291",5,62.7,535
"292",6,55.3,553
"293",7,60.8,570
"294",2,55.5,532
"295",1,46,471
"296",3,47.6,565
"297",4,45.4,513
"298",5,52.9,598
"299",6,56.1,583
"300",7,57.3,675
"301",2,57.8,517
"302",1,58.9,440
"303",3,55,598
"304",4,57.7,576
"305",5,57,576
"306",6,58.9,585
"307",7,56.6,686
"308",2,54.7,580
"309",1,52.1,515
"310",3,55.4,561
"311",4,60.9,592
"312",5,60.3,620
"313",6,58.9,602
"314",7,66.9,698
"315",2,64.4,523
"316",1,62.6,527
"317",3,51.7,577
"318",4,51.1,565
"319",5,58,532
"320",6,69.5,559
"321",7,66.4,742
"322",2,61,506
"323",1,57.3,544
"324",3,65,658
"325",4,75.9,697
"326",5,71,570
"327",6,71.5,735
"328",7,59.6,668
"329",2,48.1,514
"330",1,55.5,455
"331",3,61.7,420
"332",4,61.1,686
"333",5,66.9,574
"334",6,81,685
"335",7,83,736
"336",2,80.8,631
"337",1,80.1,487
"338",3,72.2,707
"339",4,66.1,613
"340",5,66,599
"341",6,63.8,605
"342",7,61.5,791
"343",2,64.9,571
"344",1,71.7,533
"345",3,67.7,624
"346",4,69.6,635
"347",5,70.9,615
"348",6,65.7,535
"349",7,59.9,693
"350",2,69.4,596
"351",1,72.8,477
"352",3,75.3,614
"353",4,72.8,613
"354",5,67.4,622
"355",6,69.6,681
"356",7,71.6,690
"357",2,72.4,599
"358",1,76.1,505
"359",3,80.6,680
"360",4,80.9,648
"361",5,79.4,621
"362",6,78.1,598
"363",7,77.1,608
"364",2,76.2,591
"365",1,77.5,423
"366",3,74.2,633
"367",4,75.6,601
"368",5,76,635
"369",6,79.5,438
"370",7,82.3,576
"371",2,84.6,516
"372",1,85.6,475
"373",3,81.3,617
"374",4,78.8,583
"375",5,79.4,614
"376",6,80.6,550
"377",7,75,599
"378",2,72.2,575
"379",1,80.3,471
"380",3,85.3,581
"381",4,85.9,582
"382",5,86.7,609
"383",6,88.2,636
"384",7,89.1,697
"385",2,86.7,551
"386",1,82.3,447
"387",3,78.2,591
"388",4,78.7,571
"389",5,78.5,571
"390",6,67.3,507
"391",7,72.2,617
"392",2,75.2,516
"393",1,73.3,485
"394",3,75.1,597
"395",4,74.4,584
"396",5,74.1,553
"397",6,71.5,643
"398",7,73.6,626
"399",2,73.4,492
"400",1,73.2,454
"401",3,70.2,545
"402",4,72.1,543
"403",5,73.4,508
"404",6,73.8,549
"405",7,77,579
"406",2,77.2,495
"407",1,73.5,481
"408",3,74.5,519
"409",4,73.2,553
"410",5,68.3,622
"411",6,68.6,599
"412",7,70.9,678
"413",2,72.6,504
"414",1,72.1,442
"415",3,72.1,462
"416",4,76.6,542
"417",5,80.1,562
"418",6,75.6,578
"419",7,75.5,636
"420",2,72,527
"421",1,72.8,459
"422",3,74.5,521
"423",4,77.8,507
"424",5,76.4,482
"425",6,73.8,572
"426",7,75.1,599
"427",2,78.3,480
"428",1,78.9,480
"429",3,76.9,431
"430",4,75.7,551
"431",5,72.7,604
"432",6,73,493
"433",7,64.7,525
"434",2,67.8,585
"435",1,73.7,500
"436",3,65.3,632
"437",4,74.9,629
"438",5,84.4,576
"439",6,80,695
"440",7,70.1,652
"441",2,60.3,519
"442",1,60.4,476
"443",3,65.2,570
"444",4,57.8,627
"445",5,60,571
"446",6,64.3,536
"447",7,67.6,631
"448",2,67.7,546
"449",1,65.3,585
"450",3,57.5,661
"451",4,58.4,615
"452",5,62.5,539
"453",6,63,516
"454",7,61.8,553
"455",2,64.1,547
"456",1,63.7,506
"457",3,63.1,605
"458",4,68.2,616
"459",5,72.7,647
"460",6,71.7,590
"461",7,73.5,658
"462",2,69.5,497
"463",1,67.2,404
"464",3,69.6,618
"465",4,60.8,574
"466",5,58.3,529
"467",6,58.4,559
"468",7,63.3,621
"469",2,65.2,556
"470",1,60.3,502
"471",3,58.2,440
"472",4,60,615
"473",5,60.6,548
"474",6,65.3,574
"475",7,63.5,680
"476",2,58.3,471
"477",1,57.4,490
"478",3,57.4,616
"479",4,59.5,540
"480",5,51.8,558
"481",6,47.4,632
"482",7,46.3,647
"483",2,47.9,626
"484",1,52.1,512
"485",3,51.5,620
"486",4,50.2,600
"487",5,52.8,558
"488",6,59.7,615
"489",7,66.2,710
"490",2,61.3,551
"491",1,49.6,415
"492",3,39.4,658
"493",4,46.8,510
"494",5,54.4,635
"495",6,57.8,646
"496",7,45,682
"497",2,43.7,571
"498",1,49.6,474
"499",3,48.2,456
"500",4,42.8,647
"501",5,33.1,593
"502",6,40.7,620
"503",7,50,617
"504",2,52.3,612
"505",1,54.6,533
"506",3,60.4,611
"507",4,47.1,600
"508",5,37.5,607
"509",6,42.1,628
"510",7,52.8,702
"511",2,46.3,536
"512",1,27.6,494
"513",3,27.5,710
"514",4,35.9,867
"515",5,48.5,742
"516",6,33.2,429
"517",7,33.7,437
"518",2,31.2,479
"519",1,41.3,420
"520",3,45.1,549
"521",4,44.8,553
"522",5,45.7,520
"523",6,52.8,573
"524",7,52.4,759
"525",2,38.2,567
"526",1,31.6,456
"527",3,34.6,639
"528",4,35.7,539
"529",5,30.1,605
"530",6,26.8,648
"531",7,27.8,695
"532",2,28.2,690
"533",1,33.1,450
"534",3,30.3,640
"535",4,27.3,703
"536",5,28.9,701
"537",6,36.5,607
"538",7,46.8,674
"539",2,55.4,595
"540",1,65.5,505
"541",3,59.8,707
"542",4,38.8,515
"543",5,24.8,257
"544",6,31.9,428
"545",7,35.2,476
"546",2,43,475
"547",1,45.9,394
"548",3,39.8,476
"549",4,26,465
