"","day","temp","dewp","NUM_COLLISIONS"
"185",4,37.8,23.6,381
"186",5,27.1,10.5,480
"187",6,28.4,14.1,549
"188",7,33.4,18.6,505
"189",2,36.1,18.7,389
"190",1,38.3,25,393
"191",3,40.9,23.8,521
"192",4,40.7,25.4,513
"193",5,43.8,30.8,487
"194",6,44.3,25.4,555
"195",7,40.5,27.1,660
"196",2,44.6,43,475
"197",1,45.3,43.1,373
"198",3,52.5,45.4,542
"199",4,37.9,27.9,516
"200",5,34.2,30,578
"201",6,39.2,28,491
"202",7,30.2,12.2,561
"203",2,37.3,18.1,484
"204",1,45.3,23.4,393
"205",3,29.8,9.3,355
"206",4,22.4,4,544
"207",5,14.4,-5.4,545
"208",6,16.8,-1.7,554
"209",7,17.1,1.5,674
"210",2,19.9,9.2,558
"211",1,24.5,7.5,429
"212",3,31.8,19,507
"213",4,40.3,35.3,542
"214",5,45.7,42.9,497
"215",6,49.1,36.5,592
"216",7,29.3,9.5,574
"217",2,24.1,6.5,534
"218",1,26.5,18,445
"219",3,26.8,10.5,553
"220",4,29.1,20.3,566
"221",5,33.3,23.1,566
"222",6,29.3,6.2,526
"223",7,32.3,26.2,703
"224",2,28.8,21,403
"225",1,25.2,8.5,400
"226",3,38.5,32.4,475
"227",4,41.9,28.8,498
"228",5,38.2,22.5,570
"229",6,38.2,26.7,631
"230",7,43,30.7,604
"231",2,37.9,28,449
"232",1,29,6.6,447
"233",3,23.4,2,398
"234",4,39.2,22.4,477
"235",5,33.8,16.8,510
"236",6,28,9.8,498
"237",7,30,17.2,531
"238",2,38,34.3,521
"239",1,39.3,32.4,426
"240",3,37.5,22.7,490
"241",4,39.9,28.7,537
"242",5,40.2,36.8,550
"243",6,45.2,32.9,517
"244",7,40,27.4,603
"245",2,36.7,22.8,474
"246",1,32.6,18.7,502
"247",3,32.8,16.4,597
"248",4,37.9,20.6,527
"249",5,40.1,29.3,475
"250",6,36.7,28.2,535
"251",7,34,30.2,851
"252",2,43.7,22.1,569
"253",1,41.8,28.6,415
"254",3,44.7,38.2,522
"255",4,50.3,47.3,547
"256",5,45,29.9,636
"257",6,35.6,13.6,557
"258",7,36.1,13.5,607
"259",2,37.3,24.1,521
"260",1,33,20,426
"261",3,32.1,14.1,623
"262",4,36,32.2,559
"263",5,38.5,18.9,540
"264",6,35.7,16,508
"265",7,34,13.9,604
"266",2,38.4,17.6,488
"267",1,39.1,18.2,451
"268",3,38.3,27.7,498
"269",4,42.2,27.3,425
"270",5,43.8,22.7,441
"271",6,43.3,27.8,549
"272",7,46.7,26.4,520
"273",2,48,24.5,513
"274",1,49.3,29.7,426
"275",3,49.3,40.8,479
"276",4,38,10.9,437
"277",5,38.4,9.5,532
"278",6,39.9,16.4,566
"279",7,49,22.3,582
"280",2,43.1,13.2,531
"281",1,46.2,31,451
"282",3,59,40.8,582
"283",4,65.7,42.7,613
"284",5,65.1,45.9,580
"285",6,56.2,50.1,517
"286",7,44.2,38.8,649
"287",2,46.5,36.8,555
"288",1,52.3,30.4,472
"289",3,49.9,27,603
"290",4,53.9,43.9,564
"291",5,62.7,45.3,535
"292",6,55.3,39.9,553
"293",7,60.8,55,570
"294",2,55.5,38,532
"295",1,46,20.5,471
"296",3,47.6,29.9,565
"297",4,45.4,34.5,513
"298",5,52.9,41.1,598
"299",6,56.1,31.5,583
"300",7,57.3,29.4,675
"301",2,57.8,27.8,517
"302",1,58.9,31.1,440
"303",3,55,44,598
"304",4,57.7,38.2,576
"305",5,57,32.7,576
"306",6,58.9,41.2,585
"307",7,56.6,37.9,686
"308",2,54.7,41.4,580
"309",1,52.1,38.7,515
"310",3,55.4,44.7,561
"311",4,60.9,50.8,592
"312",5,60.3,56.6,620
"313",6,58.9,54.2,602
"314",7,66.9,54,698
"315",2,64.4,60.1,523
"316",1,62.6,45.3,527
"317",3,51.7,26.7,577
"318",4,51.1,27.2,565
"319",5,58,39.9,532
"320",6,69.5,51,559
"321",7,66.4,40.2,742
"322",2,61,46.6,506
"323",1,57.3,53.4,544
"324",3,65,60,658
"325",4,75.9,65.2,697
"326",5,71,63.4,570
"327",6,71.5,66.2,735
"328",7,59.6,57,668
"329",2,48.1,41.7,514
"330",1,55.5,35.6,455
"331",3,61.7,34.9,420
"332",4,61.1,47.1,686
"333",5,66.9,60.6,574
"334",6,81,63.4,685
"335",7,83,63.4,736
"336",2,80.8,64.1,631
"337",1,80.1,65.9,487
"338",3,72.2,67.3,707
"339",4,66.1,45.6,613
"340",5,66,41.7,599
"341",6,63.8,53.8,605
"342",7,61.5,59.4,791
"343",2,64.9,58.9,571
"344",1,71.7,57.6,533
"345",3,67.7,62.1,624
"346",4,69.6,63.6,635
"347",5,70.9,53.2,615
"348",6,65.7,55.6,535
"349",7,59.9,53.8,693
"350",2,69.4,52,596
"351",1,72.8,53.8,477
"352",3,75.3,63.4,614
"353",4,72.8,63.8,613
"354",5,67.4,54.4,622
"355",6,69.6,52.4,681
"356",7,71.6,51.6,690
"357",2,72.4,54,599
"358",1,76.1,62.6,505
"359",3,80.6,68.1,680
"360",4,80.9,64.9,648
"361",5,79.4,65.6,621
"362",6,78.1,68.7,598
"363",7,77.1,69.4,608
"364",2,76.2,65.9,591
"365",1,77.5,70.8,423
"366",3,74.2,71,633
"367",4,75.6,71.7,601
"368",5,76,71.4,635
"369",6,79.5,72.8,438
"370",7,82.3,70.7,576
"371",2,84.6,70.1,516
"372",1,85.6,70.7,475
"373",3,81.3,65.8,617
"374",4,78.8,67.2,583
"375",5,79.4,70.5,614
"376",6,80.6,68.7,550
"377",7,75,62.6,599
"378",2,72.2,68.9,575
"379",1,80.3,71.5,471
"380",3,85.3,69.7,581
"381",4,85.9,66.3,582
"382",5,86.7,66.3,609
"383",6,88.2,68.6,636
"384",7,89.1,72.1,697
"385",2,86.7,70.1,551
"386",1,82.3,63.7,447
"387",3,78.2,70,591
"388",4,78.7,71.4,571
"389",5,78.5,64.5,571
"390",6,67.3,52.3,507
"391",7,72.2,57.5,617
"392",2,75.2,61.2,516
"393",1,73.3,65.2,485
"394",3,75.1,64.9,597
"395",4,74.4,53.3,584
"396",5,74.1,56.3,553
"397",6,71.5,62.8,643
"398",7,73.6,62.9,626
"399",2,73.4,60,492
"400",1,73.2,56,454
"401",3,70.2,47,545
"402",4,72.1,52.5,543
"403",5,73.4,60.5,508
"404",6,73.8,69.3,549
"405",7,77,71.9,579
"406",2,77.2,62.8,495
"407",1,73.5,53,481
"408",3,74.5,64.2,519
"409",4,73.2,67.2,553
"410",5,68.3,52.3,622
"411",6,68.6,47.5,599
"412",7,70.9,51.5,678
"413",2,72.6,53.5,504
"414",1,72.1,54.6,442
"415",3,72.1,58.2,462
"416",4,76.6,61.9,542
"417",5,80.1,61.4,562
"418",6,75.6,68.8,578
"419",7,75.5,60.8,636
"420",2,72,49.8,527
"421",1,72.8,53.9,459
"422",3,74.5,56.8,521
"423",4,77.8,66.1,507
"424",5,76.4,68,482
"425",6,73.8,67.5,572
"426",7,75.1,64.3,599
"427",2,78.3,68.8,480
"428",1,78.9,70.1,480
"429",3,76.9,71.8,431
"430",4,75.7,64.8,551
"431",5,72.7,54,604
"432",6,73,51.4,493
"433",7,64.7,39.9,525
"434",2,67.8,45.9,585
"435",1,73.7,52.8,500
"436",3,65.3,45.6,632
"437",4,74.9,63.7,629
"438",5,84.4,70.9,576
"439",6,80,69.8,695
"440",7,70.1,61.5,652
"441",2,60.3,44.5,519
"442",1,60.4,43.3,476
"443",3,65.2,51.7,570
"444",4,57.8,38.3,627
"445",5,60,41.9,571
"446",6,64.3,47.4,536
"447",7,67.6,53.9,631
"448",2,67.7,59.5,546
"449",1,65.3,53.6,585
"450",3,57.5,39.8,661
"451",4,58.4,40.3,615
"452",5,62.5,43.4,539
"453",6,63,52.3,516
"454",7,61.8,50.8,553
"455",2,64.1,49.4,547
"456",1,63.7,52.2,506
"457",3,63.1,50.7,605
"458",4,68.2,52.1,616
"459",5,72.7,55.9,647
"460",6,71.7,54.7,590
"461",7,73.5,59.7,658
"462",2,69.5,61.5,497
"463",1,67.2,63.1,404
"464",3,69.6,64.7,618
"465",4,60.8,43.9,574
"466",5,58.3,42.3,529
"467",6,58.4,48.4,559
"468",7,63.3,54.4,621
"469",2,65.2,45.7,556
"470",1,60.3,49.4,502
"471",3,58.2,46.2,440
"472",4,60,49.6,615
"473",5,60.6,51.9,548
"474",6,65.3,58.1,574
"475",7,63.5,47.6,680
"476",2,58.3,42,471
"477",1,57.4,39.6,490
"478",3,57.4,35.5,616
"479",4,59.5,44.8,540
"480",5,51.8,35.1,558
"481",6,47.4,29.5,632
"482",7,46.3,27.4,647
"483",2,47.9,29,626
"484",1,52.1,28.9,512
"485",3,51.5,29.6,620
"486",4,50.2,30,600
"487",5,52.8,39,558
"488",6,59.7,52.7,615
"489",7,66.2,56.7,710
"490",2,61.3,46.6,551
"491",1,49.6,32.9,415
"492",3,39.4,15.9,658
"493",4,46.8,30.4,510
"494",5,54.4,42.1,635
"495",6,57.8,51,646
"496",7,45,26.7,682
"497",2,43.7,24.2,571
"498",1,49.6,31.1,474
"499",3,48.2,25,456
"500",4,42.8,24.9,647
"501",5,33.1,12.9,593
"502",6,40.7,15.2,620
"503",7,50,20.2,617
"504",2,52.3,35.5,612
"505",1,54.6,49.8,533
"506",3,60.4,45.5,611
"507",4,47.1,23.1,600
"508",5,37.5,16,607
"509",6,42.1,24.8,628
"510",7,52.8,43.7,702
"511",2,46.3,27.8,536
"512",1,27.6,4.8,494
"513",3,27.5,6.8,710
"514",4,35.9,18.7,867
"515",5,48.5,44.4,742
"516",6,33.2,13.3,429
"517",7,33.7,13.8,437
"518",2,31.2,14.3,479
"519",1,41.3,28.2,420
"520",3,45.1,32.4,549
"521",4,44.8,34.3,553
"522",5,45.7,34.7,520
"523",6,52.8,47,573
"524",7,52.4,48.3,759
"525",2,38.2,29.1,567
"526",1,31.6,15.6,456
"527",3,34.6,31.2,639
"528",4,35.7,30.2,539
"529",5,30.1,14.1,605
"530",6,26.8,8,648
"531",7,27.8,7.7,695
"532",2,28.2,17.5,690
"533",1,33.1,27.5,450
"534",3,30.3,12.7,640
"535",4,27.3,16,703
"536",5,28.9,18.3,701
"537",6,36.5,20.7,607
"538",7,46.8,28.4,674
"539",2,55.4,44.4,595
"540",1,65.5,55.4,505
"541",3,59.8,54,707
"542",4,38.8,23.9,515
"543",5,24.8,6.5,257
"544",6,31.9,18.7,428
"545",7,35.2,18.7,476
"546",2,43,22,475
"547",1,45.9,30.4,394
"548",3,39.8,29.2,476
"549",4,26,10.4,465
